,channel_id,video_id,title,url,description,duration,published_at,thumbnails,view_count,like_count,comment_count
0,UCvpfclapgcuJo0M_x65pfRw,bkkIvu1y0LU,Samsung Galaxy F54 First Impressions!,https://www.youtube.com/watch?v=bkkIvu1y0LU,"Samsung has just launched the new Galaxy F54 at Rs. 29,999 (Rs. 27,999 with pre-order discount) in India and it comes with some really cool features, be it 108MP camera with OIS, 6.000mAh battery, 4 OS updates and more. 

Samsung Galaxy F54 5G on Flipkart: https://www.flipkart.com/samsung-galaxy-f54-5g-coming-soon-7je89-store?ocmpid=brandad_samsung_samsungf54_facebook_video_Beebom_cpc_teaser

This video is in partnership with Samsung India. 

Chapters:
0:00 The New Galaxy F54
0:13 Design and Build
0:58 Display & Haptics
1:23 Camera Features and Performance
2:53 OneUI and Updates
3:33 Exynos 1380
4:18 Battery Life & Charging
4:44 5G Bands, NFC, CA
4:50 Price and Conclusion

#GalaxyF54 #collab",05:28,"June 06, 2023",https://i.ytimg.com/vi_webp/bkkIvu1y0LU/maxresdefault.webp,87286,3476,675
1,UCvpfclapgcuJo0M_x65pfRw,J3igzbaOF_M,7 Dangerous Android Settings You Need to Turn Off!,https://www.youtube.com/watch?v=J3igzbaOF_M,"If you are an Android user, this video is a must watch for you. We show you 7 Android settings you need to turn off right away and one Android setting you need to turn on. 

Chapters:
0:00 Android Settings to Disable
0:19 Hide Your Passwords
0:53 Disable Google Discover
1:18 Turn Off Virtual RAM
1:52 Turn Off Precise Location in Apps
2:22 Disable Glance Lockscreen
2:51 Disable Annoying Notifications
3:11 Turn Off Open WiFi Notifications
3:32 Lock Incognito Mode

#Beebom",04:18,"June 03, 2023",https://i.ytimg.com/vi_webp/J3igzbaOF_M/maxresdefault.webp,217477,12693,373
2,UCvpfclapgcuJo0M_x65pfRw,LuThmQCAnZc,QLED vs LED TV at 30K: Don't Make This Mistake!,https://www.youtube.com/watch?v=LuThmQCAnZc,"Everyone has a perception that QLED TVs are expensive but not everyone knows that QLED TVs are now available under 30,000 rupees as well as under 40,000 rupees. So, QLED TV vs LED TV at ₹30,000? Which one should you buy?

We test out a QLED TV and compare it LED TVs in this price range to compare the colors, brightness, contrast and more. 

QLED TVs in the 30-40K Segment:
Vu QLED TV 55"": https://www.amazon.in/VU-Premium-Android-55QML-Charcoal/dp/B0B65XJ2YG/ref=sr_1_3?tag=beebom05-21&qid=1684905372&refinements=p_n_feature_three_browse-bin:13466811031&rnid=1485060031&s=electronics&sr=1-3&geniuslink=true
TCL QLED TV 43”: https://www.amazon.in/TCL-138-7-inches-Google-55C635/dp/B0B1DR2BWX/ref=sr_1_3?tag=beebom05-21&crid=MDHF70PWXIE3&keywords=TCl%20QLED%20TV&qid=1685429754&sprefix=tcl%20qled%20tv,aps,232&sr=8-3&th=1&geniuslink=true
Thompson QLED TV 50"": https://www.flipkart.com/thomson-126-cm-50-inch-qled-ultra-hd-4k-smart-google-tv-dolby-vision-atmos/p/itma89c8d0f53b5c?pid=TVSGHADTWZAWZXSF&lid=LSTTVSGHADTWZAWZXSF0Y62ZW&marketplace=FLIPKART&sattr[]=display_size&st=display_size&otracker=search
Sansui QLED TV 55"": http://fkrt.it/jyzB0juuuN
Kodak QLED TV 55"": https://www.amazon.in/Kodak-inches-Matrix-Google-50MT5011/dp/B0BP7JLSK1/ref=sr_1_20?tag=beebom05-21&keywords=qled%20tv%2043%20inches&qid=1682750435&sprefix=qled%20tv%20,aps,236&sr=8-20&th=1&geniuslink=true
Infinix QLED TV 55"" : http://fkrt.it/jyHAsjuuuN
Motorola QLED TV 55"": http://fkrt.it/jygEwOuuuN

Chapters:
0:00 Don't Make This Mistake!
0:14 QLED TVs Under 40K
0:30 QLED TV vs LED TV 
1:06 QLED vs LED Tech
1:32 QLED vs LED TV Picture Quality
2:46 HDR Performance
3:04 Upscaling Content?
3:25 Google TV on all TVs
4:00 3 Key Takeaways
4:52 Blaupunkt QLED TV
#Beebom",05:29,"May 30, 2023",https://i.ytimg.com/vi_webp/LuThmQCAnZc/maxresdefault.webp,124445,4452,295
3,UCvpfclapgcuJo0M_x65pfRw,dPLj_lId_zY,"Lava Agni 2 Review: The Good, The Bad, The Best!",https://www.youtube.com/watch?v=dPLj_lId_zY,"The Lava Agni 2 is here and this is one hyped up phone that has spiced up the phones under 20,000 segment. So, is the Lava Agni 2 actually good at ₹19,999? What are the pros and cons? 

We find out in our Lava Agni 2 review where we tell you the best, the good and the BAD! We also pit the Lava Agni 2 vs Moto G82 vs Realme GT Neo 3T to find out which is the best option around 20K. 

Chapters:
0:00 The New Lava Agni 2
0:23 The Best
2:41 The Good
5:25 The Bad
6:44 Verdict
7:18 Dear Lava

#BeebomReviews",07:31,"May 26, 2023",https://i.ytimg.com/vi_webp/dPLj_lId_zY/maxresdefault.webp,168100,8885,634
4,UCvpfclapgcuJo0M_x65pfRw,QOm4okp1J5c,Moto Edge 40: A Good Option Under 30K?,https://www.youtube.com/watch?v=QOm4okp1J5c,"Motorola has launched the new Edge 40 and this is a phone that brings flagship features like wireless charging, IP68 rating and more while bringing in good specs all around. So, is the Moto Edge 40 a good option under 30K?

The Edge 40 has launched at Rs. 29,999 and it's up for pre-order starting today on Flipkart: https://Beebom.oia.bio/MotorolaEdge40Flipkart

Check out the Edge 40 features and specs: https://Beebom.oia.bio/MotorolaEdge40

This video is in partnership with Motorola India. 

Chapters:
0:00 The New Edge 40
0:19 Premium Back Design
0:55 Premium Front Design
1:15 IP68 and Wireless Charging
1:45 The New Dimensity 8020
2:33 Fingerprint Scanner, Dual SIM & More
2:51 Camera Features & Performance
4:20 Stock Android & Updates
4:57 Battery, Charger, 5G and More
5:20 Pricing and Conclusion

#motorolaedge40 #BeebomImpressions",05:58,"May 23, 2023",https://i.ytimg.com/vi_webp/QOm4okp1J5c/maxresdefault.webp,271683,9591,1000
5,UCvpfclapgcuJo0M_x65pfRw,0YoPpEIS3o4,8 Super Useful Gadgets for Students!,https://www.youtube.com/watch?v=0YoPpEIS3o4,"The best gadgets for students! These are 8 super useful gadgets for students that are affordable and actually something students will find useful, be it the 4 in 1 pen, the portable laminator, or the desk fan. 

Chapters:
0:00 The Best Gadgets for Students!
0:11 Reading Light
0:41 Portable Laminator
1:15 Bed Laptop Table
1:48 Desk Fan
2:23 4 in 1 Pen
2:52 Foldable Keyboard
3:28 FHD Webcam with Shutter
4:07 Bracelet
4:38 2 in 1 Paper Cutter

Links:
Desk Fan: https://www.amazon.in/Gaiatop-Portable-Adjustment-Personal-Transparent/dp/B09XGQVZTD/ref=zg_bs_1375338031_sccl_12/261-3270191-7395246?tag=beebom05-21&th=1&geniuslink=true
USB-C Bracelet: https://www.amazon.in/Armilo-Portable-Bracelet-Charger-Durable/dp/B084H4PQ97/ref=sr_1_4?tag=beebom05-21&crid=HLG9O8TELTIU&keywords=USB-C%20bracelet&qid=1683724129&sprefix=usb-c%20bracelet,aps,280&sr=8-4&geniuslink=true
Bed Laptop Table: https://www.urbanladder.com/products/nuvolo-laptop-table?sku=FNTBSI15DW10048&src=subcat
Reading Light for Book: https://www.amazon.in/SHOPOPOYE-Rechargeable-Students-Highlighters-Bookmarks/dp/B07WW1YMMW/ref=sr_1_25?tag=beebom05-21&keywords=smart+study+lamp&qid=1682932145&sprefix=smart+study+%2Caps%2C237&sr=8-25&th=1&geniuslink=true
Foldable Bluetooth Keyboard: https://www.amazon.in/Zoook-Travelpad-Foldable-Bluetooth-Battery-112/dp/B09VGZHW2W/ref=d_pb_allspark_dp_sims_pao_desktop_session_based_sccl_3_2/259-7771873-4915822?tag=beebom05-21&pd_rd_w=Bsyn7&content-id=amzn1.sym.0c2e13d1-3874-45db-864e-478422a97adc&pf_rd_p=0c2e13d1-3874-45db-864e-478422a97adc&pf_rd_r=X5MVJVE1V05QQQ7YZ2QV&pd_rd_wg=C3rxi&pd_rd_r=61fb08e1-4aff-482f-a3a3-da7cbf5ae217&pd_rd_i=B09VGZHW2W&psc=1&geniuslink=true
FHD Webcam: https://www.amazon.in/LenovoTM-Megapixel-Ultra-Wide-Rotation-4XC1B34802/dp/B08LZFFFRF/ref=sr_1_4?tag=beebom05-21&crid=I1SYVUU9HL1P&keywords=1080p%20webcam&qid=1682937988&sprefix=1080p%20webcam,aps,261&sr=8-4&geniuslink=true
Automatic Portable Laminator: https://www.amazon.in/Texet-LMA4-VX-Lamination-Laminating-Automatic/dp/B08XM8NRVB/ref=sr_1_3?tag=beebom05-21&crid=19ZFTMSCLBGHO&keywords=portable+lamination+machine&qid=1682936736&sprefix=portable+lamination+machine%2Caps%2C309&sr=8-3&th=1&geniuslink=true
4 in 1 Pen: https://www.amazon.in/dp/B0BW64C2V7/ref=sspa_dk_detail_1?tag=beebom05-21&pd_rd_i=B0BW64C2V7&pd_rd_w=7cElq&content-id=amzn1.sym.b3dfef88-30a1-490c-be36-e990ef384667&pf_rd_p=b3dfef88-30a1-490c-be36-e990ef384667&pf_rd_r=SGG5W68EYWK9HR3FNKKN&pd_rd_wg=pX9J8&pd_rd_r=80ccca6d-341c-4b2d-8c54-c21642e60904&s=office&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWw&th=1&geniuslink=true
2 in 1 Knife Paper Cutter: https://www.amazon.in/FreshDcart-FDCA497-Creative-Multifunction-Multicolor/dp/B0BZHBTCJN/ref=sr_1_7?tag=beebom05-21&crid=N8APUWIJUD83&keywords=foldable%20art%20scissors&qid=1682947915&sprefix=,aps,2324&sr=8-7&geniuslink=true

#BeebomGadgets",05:09,"May 20, 2023",https://i.ytimg.com/vi_webp/0YoPpEIS3o4/maxresdefault.webp,370521,13169,481
6,UCvpfclapgcuJo0M_x65pfRw,MDigRlLPlgc,ASUS ROG Strix G18: Core i9 + 4070 at Great Price?,https://www.youtube.com/watch?v=MDigRlLPlgc,"ASUS has launched of number of new ROG laptops in India and one of them is the new ROG Strix G18, which brings powerful performance with specs like Core i9 CPUs, 40 series RTX GPUs, 18"" 240Hz QHD displays and more. In this video, we tell you if the ROG Strix G18 is worth the price. 

The ROG Strix G18 in India starts at Rs. 1,69,990. 

ASUS ROG Strix G18 Product Page: https://www.asus.com/in/laptops/rog-strix/rog-strix-g18-2023-series/?utm_source=PR&utm_medium=YouTube&utm_campaign=Beebom_Strix_G18

ASUS ROG Strix G18 EShop Link: https://in.store.asus.com/90NR0D01-M004S0-rog-strix-g18.html?utm_source=PR&utm_medium=YouTube&utm_campaign=Beebom_Strix_G18

This video is in partnership with ASUS India. 

Chapters:
0:00 The New ASUS ROG Strix G18
0:13 Core i9 HX CPU
0:25 RTX 40 Series GPU
0:35 SSD, RAM & Upgradeability
0:58 18-inch 240Hz Display
1:17 Great Benchmarks
1:43 Gaming Performance
2:50 Thermals
3:20 Armory Crate Features
3:40 Design and Build
4:02 Keyboard, Touchpad & Ports
4:36 Speakers & Webcam
4:48 Battery and Charging
5:02 Pricing and Conclusion

#Beebom",05:33,"May 17, 2023",https://i.ytimg.com/vi_webp/MDigRlLPlgc/maxresdefault.webp,77679,2743,208
7,UCvpfclapgcuJo0M_x65pfRw,Q65Fn1FZwdE,"Dell G16 (2023): High Performance, Better Price!",https://www.youtube.com/watch?v=Q65Fn1FZwdE,"The new Dell G16 7630 has arrived and it brings specs like a 240Hz display, Core i9 HX processor, 4060 and 4070 RTX GPUs. 

The G16 aims to bring Alienware grade performance at a lower price. So, does it succeed at that? We find out in the video. 

This video is in partnership with Dell India. 

Chapters:
0:00 The New Dell G16 2023!
0:10 Dell G16 Variants
0:20 Core i9 13900HX + RTX 4060 
0:40 Benchmarks & Gaming Performance
1:46 240Hz Display
2:12 SSD, RAM & Upgradeability
2:28 Thermal Performance
3:12 Design and Build Quality
3:32 Keyboard and Touchpad
3:48 Speakers, Ports and Webcam
4:15 Battery & Charging
4:25 Pricing and Conclusion

#Beebom",05:03,"May 15, 2023",https://i.ytimg.com/vi_webp/Q65Fn1FZwdE/maxresdefault.webp,103402,3607,285
8,UCvpfclapgcuJo0M_x65pfRw,lUDozITit6w,Pixel 7a: Google Fixed It!,https://www.youtube.com/watch?v=lUDozITit6w,"Google has just launched the Pixel 7a and this is a phone that fixes all of the issues we had with the Pixel 6a while bringing in some new upgrades. 

The Pixel 7a has launched in India at Rs. 43,999 (Rs. 39,999 after bank discount). 

Chapters:
0:00 This Phone Will Divide the Internet
0:06 The Pixel 6a Issues
0:18 Pixel 7a Fixes Everything!
0:27 Design Changes
1:44 Face Unlock is Here, Finally!
1:55 Wireless Charging
2:08 90Hz OLED
2:40 Tensor G2 Performance
3:35 Pixel Experience & Updates
4:12 Camera Features
4:31 New Cameras
5:24 Battery and Charging
5:48 Two Opinions on the Pixel 7a!",06:31,"May 10, 2023",https://i.ytimg.com/vi_webp/lUDozITit6w/maxresdefault.webp,321738,11271,1600
9,UCvpfclapgcuJo0M_x65pfRw,0d5vOvvP8qk,POCO F5: Snapdragon 7+ Gen 2 is 🔥,https://www.youtube.com/watch?v=0d5vOvvP8qk,"The new POCO F5 is here and it's the first phone in India with the new Snapdragon 7+ Gen 2 processor, which is surprisingly powerful. 

We compared the 7+ Gen 2 processor versus 778G, 888, 8 Gen 1 and the results are pretty surprising. 

The POCO F5 has launched in India at a starting price of Rs. 29,999. 

Chapters:
0:00 First 7+ Gen 2 Phone in India
0:09 POCO F5 Specs
0:23 7+ Gen 2 = 8 Gen 1
0:50 7+ Gen 2 Benchmarks vs Competition
1:20 7+ Gen 2 Heating and Thermals?
1:42 7+ Gen 2 Performance
2:00 Snapdragon Processors Ranked
2:15 12-Bit Display
3:04 Mixed Feelings on the Design
4:07 Same Old Cameras
4:52 Battery & Charging
5:07 Connectivity and Updates
5:21 Unbeatable at its Price?
#BeebomImpressions",06:12,"May 09, 2023",https://i.ytimg.com/vi_webp/0d5vOvvP8qk/maxresdefault.webp,310079,10944,1400
